SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
PADMALAYAT,EQ,80.6,83.2,80.6,82.75,83,81.55,15849,1311843.5,15-NOV-2003,
PANACEABIO,EQ,44.75,45,43.2,44.45,44,42.9,10579,467740.3,15-NOV-2003,
PANTALOONR,EQ,252,254,240.1,246.9,246.25,250.2,18893,4653930.95,15-NOV-2003,
PAPERPROD,EQ,180,180,156.15,157.5,158,157.8,3067,482407.5,15-NOV-2003,
PAREKHPLAT,EQ,7.9,8.2,7.9,8,8.1,8.1,12566,101061.3,15-NOV-2003,
PARRYSCON,EQ,140.1,140.1,140,140,140,140,256,35845.6,15-NOV-2003,
PATSPINLTD,EQ,13.5,14,13.2,13.75,14,13.75,7300,98962.5,15-NOV-2003,
PDUMJEPULP,EQ,25,25,25,25,25,25.5,12,300,15-NOV-2003,
PEACOCKIND,BE,2.65,2.65,2.65,2.65,2.65,2.9,1030,2729.5,15-NOV-2003,
PENTACOMMU,EQ,3.35,3.9,3.35,3.8,3.8,3.6,199292,751211.1,15-NOV-2003,
PENTSFWARE,BE,7.95,7.95,6.75,6.95,6.9,6.85,161857,1120886.2,15-NOV-2003,
PETRONENGG,EQ,47,48.3,46.8,48.25,48.3,46,12419,596160.4,15-NOV-2003,
PFIZER,EQ,455,463,440,456,460,454,14148,6412407.15,15-NOV-2003,
PHARMACIA,EQ,124.45,124.5,122,122.45,123.9,121.65,261,32151.9,15-NOV-2003,
PHILCORP,BE,5.4,5.6,5.4,5.5,5.6,4.8,25,137.5,15-NOV-2003,
PHILIPCARB,EQ,75.9,80,75.9,78.6,80,79.7,21969,1722623.55,15-NOV-2003,
PIDILITIND,EQ,300,302,295.6,299.3,298,299.5,593,177868.7,15-NOV-2003,
PNB,EQ,178,180,176,178.35,179.65,176.85,803384,142887472.2,15-NOV-2003,
PNBGILTS,EQ,30.6,30.6,30,30.25,30.25,30,38545,1166854.8,15-NOV-2003,
PNC,EQ,31.45,33.7,31.45,33.35,33.5,29.55,210521,6898972.3,15-NOV-2003,
POLARIS,EQ,159.5,166.2,156.5,162.55,166.2,158.65,1236547,198274442.25,15-NOV-2003,
POLYPLEX,EQ,166,175.8,166,175.8,175.8,167.4,59173,10325749.3,15-NOV-2003,
PRAJIND,EQ,76.85,77,68.15,76.65,77,75.3,8775,653878.5,15-NOV-2003,
PRAKASH,BE,8.5,8.5,8.25,8.45,8.45,8.5,9800,82775,15-NOV-2003,
PRECWIRE,EQ,42.8,43,42.8,42.9,43,40.8,1200,51490,15-NOV-2003,
PREMAUTOEL,BE,4.65,4.65,4.65,4.65,4.65,4.4,15,69.75,15-NOV-2003,
PREMINSTR,EQ,325.9,325.9,325.85,325.85,325.9,320,90,29329.75,15-NOV-2003,
PRIMESEC,BE,3.1,3.1,3.1,3.1,3.1,3.1,6500,20150,15-NOV-2003,
PRISMCEM,EQ,10.75,11.6,10.55,11.3,11.5,10.75,570346,6349230.05,15-NOV-2003,
PRIYADCEM,BE,15,16,15,16,16,15.6,2780,44117,15-NOV-2003,
PSIDATASYS,EQ,67,69.7,67,69.05,69.7,68.4,3655,249462.7,15-NOV-2003,
PSL,EQ,72,73.5,70,72.95,73.5,70.5,16466,1188742.5,15-NOV-2003,
PUNJABTRAC,EQ,208,218,203,214.1,218,213.05,10526,2232942.55,15-NOV-2003,
RADAAN,EQ,63.9,63.9,58,60.05,62.6,61.85,6800,423883.75,15-NOV-2003,
