SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
DCW,EQ,23.15,23.5,22.35,22.8,22.75,23.25,357530,8200676.4,28-SEP-2012,1305,INE500A01029,
DECCANCE,EQ,240.6,251,240.6,242.5,242.5,244.6,807,196411.35,28-SEP-2012,17,INE583C01013,
DECOLIGHT,BE,7.9,8.4,7.9,8.4,8.4,8.15,1014,8160.95,28-SEP-2012,9,INE172I01012,
DEEPAKFERT,EQ,130.1,134.4,130.1,131.2,131.65,130.25,36481,4814695.3,28-SEP-2012,1099,INE501A01019,
DEEPAKNTR,EQ,177.3,177.3,175,175.85,177,176.25,1500,263958.6,28-SEP-2012,10,INE288B01011,
DEEPIND,EQ,44.15,44.25,43.4,43.5,43.85,43.65,6053,265192.15,28-SEP-2012,75,INE677H01012,
DELTACORP,EQ,74.4,74.8,69.85,70.7,70.75,73.2,3462671,251138447.55,28-SEP-2012,22844,INE124G01033,
DELTAMAGNT,EQ,32.4,33.5,32.4,33.5,33.5,31.95,1588,52786.3,28-SEP-2012,7,INE393A01011,
DEN,EQ,163.05,176.85,161.2,173.55,175.8,162.25,820001,139405412.7,28-SEP-2012,9545,INE947J01015,
DENABANK,EQ,106.95,108.4,105.55,106.1,106.05,106.15,2279436,244120372.2,28-SEP-2012,14890,INE077A01010,
DENORA,EQ,148.4,150,145,145.6,145,148.7,1719,254298.8,28-SEP-2012,48,INE244A01016,
DENSO,EQ,46,48,44.45,46.05,46.05,46.05,6193,285163.55,28-SEP-2012,83,INE502A01017,
DHAMPURSUG,EQ,70.8,71.4,69.1,69.35,69.25,70.05,59434,4159401,28-SEP-2012,804,INE041A01016,
DHANBANK,EQ,56.45,57,55,55.55,55.2,55.4,937948,52454445.6,28-SEP-2012,6052,INE680A01011,
